,song name,description,path
0,106563.mp3,"The music evokes a sense of introspective melancholy, with a haunting atmosphere that lingers in the listener's mind. Its emotional tone is somber yet captivating, drawing the listener into a world of contemplation and reflection. The imagery it conjures is one of quiet solitude, with a touch of nostalgia and longing. The mood is subdued, yet the energy is palpable, creating a powerful emotional impact that lingers long after the music has stopped.",106/106563.mp3
1,106951.mp3,"The music evokes a sense of introspective melancholy, with a haunting atmosphere that lingers in the listener's mind. Its emotional tone is somber yet captivating, drawing the listener into a world of contemplation and reflection. The imagery it conjures is one of quiet solitude, with a touch of nostalgia and longing. The mood is subdued, yet the energy is palpable, creating a powerful emotional impact that lingers long after the music has stopped.",106/106951.mp3
2,106522.mp3,"The music evokes a sense of introspection and mystery, with a haunting atmosphere that lingers in the listener's mind. Its emotional tone is both melancholic and contemplative, inviting the audience to explore their own thoughts and feelings. The sensory impressions are vivid, painting a picture of a dark, moonlit night, where the wind whispers through the trees and the stars shine brightly in the sky. The mood is subdued yet powerful, drawing the listener into a world of their own imagination.",106/106522.mp3
3,106458.mp3,"A serene and introspective folk piece with a gentle, flowing rhythm and a warm, uplifting atmosphere. The music evokes a sense of tranquility and reflection, inviting listeners to immerse themselves in its soothing melodies and subtle, organic textures.",106/106458.mp3
4,106457.mp3,"A hauntingly beautiful folk song with a slow tempo and a melancholic atmosphere, evoking a sense of introspection and longing. The music's emotional tone is deep and poignant, with a rich, textured sound that transports the listener to a place of quiet reflection and contemplation.",106/106457.mp3
5,106948.mp3,"The music evokes a sense of introspection and melancholy, with a raw and energetic edge that captures the essence of punk and indie rock. Its emotional tone is both haunting and uplifting, creating an atmosphere that is both nostalgic and forward-looking. The imagery it evokes is one of a solitary figure walking through a dark forest, surrounded by the sounds of nature and the echoes of their own thoughts. The mood is one of longing and yearning, with a sense of urgency and intensity that builds throughout the track. The energy is high, with a driving rhythm and powerful guitar riffs that create a sense of momentum and forward motion. The emotional color is one of sadness and regret, with a hint of hope and resilience that keeps the listener engaged and invested in the music. Overall, the track is a powerful and evocative piece of music that captures the essence of punk and indie rock, while also offering a unique and memorable listening experience.",106/106948.mp3
6,106342.mp3,"A serene and introspective folk singer-songwriter piece with a gentle, melancholic atmosphere, evoking imagery of quiet reflection and emotional depth.",106/106342.mp3
7,106876.mp3,"The music evokes a sense of introspection and melancholy, with a haunting atmosphere that lingers in the listener's mind. Its emotional tone is somber yet captivating, drawing the listener into a world of contemplation and reflection. The imagery it conjures is one of quiet solitude, with a touch of nostalgia and longing. The mood is subdued, yet the energy is palpable, creating a powerful emotional impact that lingers long after the music has stopped.",106/106876.mp3
8,106465.mp3,"The music evokes a sense of urgency and raw emotion, with a fast-paced rhythm and intense energy that captures the essence of punk and post-punk genres. The atmosphere is charged with a rebellious spirit, and the imagery conjures up scenes of youthful defiance and a desire for change.",106/106465.mp3
9,106954.mp3,"The music evokes a dark and intense atmosphere, with a mood that is both haunting and powerful. It creates a sense of foreboding and tension, drawing listeners into a world of raw emotion and energy. The imagery it conjures is one of shadowy forests, ancient ruins, and the depths of the sea, all wrapped in a veil of mystery and intrigue.",106/106954.mp3
